model_key,layer,target_sparsity,uniform_sparsity,original_owl_sparsity,owl_v9_sparsity,owl_count_ratio,v9_severity_ratio
llama1_7b,0,0.6,0.6,0.567,0.562,0.9,2.19
llama1_7b,1,0.6,0.6,0.52,0.52,1.26,2.31
llama1_7b,2,0.6,0.6,0.542,0.541,1.07,1.82
llama1_7b,3,0.6,0.6,0.523,0.524,1.21,1.85
llama1_7b,4,0.6,0.6,0.52,0.52,1.26,1.88
llama1_7b,5,0.6,0.6,0.52,0.52,1.31,1.86
llama1_7b,6,0.6,0.6,0.52,0.52,1.23,1.72
llama1_7b,7,0.6,0.6,0.537,0.537,1.11,1.57
llama1_7b,8,0.6,0.6,0.533,0.533,1.14,1.6
llama1_7b,9,0.6,0.6,0.535,0.535,1.12,1.57
llama1_7b,10,0.6,0.6,0.536,0.536,1.12,1.54
llama1_7b,11,0.6,0.6,0.577,0.577,0.84,1.17
llama1_7b,12,0.6,0.6,0.567,0.568,0.9,1.23
llama1_7b,13,0.6,0.6,0.574,0.575,0.86,1.15
llama1_7b,14,0.6,0.6,0.592,0.592,0.73,0.99
llama1_7b,15,0.6,0.6,0.601,0.601,0.68,0.92
llama1_7b,16,0.6,0.6,0.625,0.624,0.51,0.69
llama1_7b,17,0.6,0.6,0.632,0.631,0.46,0.62
llama1_7b,18,0.6,0.6,0.637,0.636,0.43,0.57
llama1_7b,19,0.6,0.6,0.65,0.649,0.34,0.46
llama1_7b,20,0.6,0.6,0.656,0.655,0.3,0.4
llama1_7b,21,0.6,0.6,0.66,0.659,0.27,0.37
llama1_7b,22,0.6,0.6,0.661,0.659,0.27,0.35
llama1_7b,23,0.6,0.6,0.663,0.662,0.25,0.34
llama1_7b,24,0.6,0.6,0.663,0.662,0.25,0.34
llama1_7b,25,0.6,0.6,0.665,0.664,0.24,0.31
llama1_7b,26,0.6,0.6,0.664,0.663,0.24,0.31
llama1_7b,27,0.6,0.6,0.665,0.663,0.24,0.31
llama1_7b,28,0.6,0.6,0.668,0.666,0.22,0.29
llama1_7b,29,0.6,0.6,0.667,0.665,0.23,0.3
llama1_7b,30,0.6,0.6,0.661,0.659,0.27,0.38
llama1_7b,31,0.6,0.6,0.622,0.62,0.53,0.92
llama2_7b,0,0.6,0.6,0.567,0.558,1.14,2.79
llama2_7b,1,0.6,0.6,0.557,0.549,1.21,2.56
llama2_7b,2,0.6,0.6,0.518,0.516,1.46,2.46
llama2_7b,3,0.6,0.6,0.48,0.48,1.94,2.93
llama2_7b,4,0.6,0.6,0.517,0.516,1.47,2.26
llama2_7b,5,0.6,0.6,0.534,0.534,1.36,2.05
llama2_7b,6,0.6,0.6,0.506,0.506,1.54,2.25
llama2_7b,7,0.6,0.6,0.519,0.519,1.46,2.12
llama2_7b,8,0.6,0.6,0.539,0.539,1.32,1.94
llama2_7b,9,0.6,0.6,0.545,0.544,1.29,1.86
llama2_7b,10,0.6,0.6,0.546,0.546,1.28,1.85
llama2_7b,11,0.6,0.6,0.55,0.55,1.26,1.81
llama2_7b,12,0.6,0.6,0.553,0.554,1.23,1.75
llama2_7b,13,0.6,0.6,0.569,0.569,1.13,1.6
llama2_7b,14,0.6,0.6,0.577,0.577,1.08,1.52
llama2_7b,15,0.6,0.6,0.601,0.601,0.92,1.31
llama2_7b,16,0.6,0.6,0.618,0.618,0.81,1.14
llama2_7b,17,0.6,0.6,0.629,0.629,0.74,1.02
llama2_7b,18,0.6,0.6,0.639,0.639,0.67,0.92
llama2_7b,19,0.6,0.6,0.648,0.647,0.61,0.85
llama2_7b,20,0.6,0.6,0.656,0.655,0.56,0.78
llama2_7b,21,0.6,0.6,0.656,0.655,0.56,0.76
llama2_7b,22,0.6,0.6,0.66,0.66,0.53,0.73
llama2_7b,23,0.6,0.6,0.661,0.66,0.53,0.7
llama2_7b,24,0.6,0.6,0.667,0.666,0.49,0.67
llama2_7b,25,0.6,0.6,0.662,0.661,0.52,0.69
llama2_7b,26,0.6,0.6,0.672,0.671,0.46,0.62
llama2_7b,27,0.6,0.6,0.676,0.675,0.43,0.56
llama2_7b,28,0.6,0.6,0.678,0.678,0.41,0.54
llama2_7b,29,0.6,0.6,0.685,0.684,0.37,0.5
llama2_7b,30,0.6,0.6,0.685,0.684,0.37,0.51
llama2_7b,31,0.6,0.6,0.663,0.661,0.51,0.82
