"target_sparsity","ppl_test","Hyper_m","Lamda","Owl_alpha"
"0.5","6.9126","5.0","0.02","0.1"
"0.5","6.9137","5.0","0.02","0.15"
"0.5","6.9158","5.0","0.02","0.2"
"0.5","6.916","5.0","0.02","0.25"
"0.5","6.9216","5.0","0.06","0.15"
"0.5","6.924","5.0","0.06","0.1"
"0.5","6.9248","6.0","0.04","0.15"
"0.5","6.9248","5.0","0.06","0.2"
"0.5","6.925","6.0","0.04","0.1"
"0.5","6.925","5.0","0.06","0.25"
"0.5","6.9255","5.0","0.04","0.25"
"0.5","6.9257","6.0","0.04","0.25"
"0.5","6.9263","5.0","0.04","0.2"
"0.5","6.9264","6.0","0.04","0.2"
"0.5","6.9265","5.0","0.04","0.15"
"0.5","6.9271","5.0","0.04","0.1"
"0.5","6.9304","6.0","0.02","0.2"
"0.5","6.9314","6.0","0.02","0.1"
"0.5","6.9315","6.0","0.02","0.15"
"0.5","6.9316","6.0","0.02","0.25"
"0.5","6.9346","7.0","0.02","0.25"
"0.5","6.9347","7.0","0.02","0.1"
"0.5","6.9347","7.0","0.02","0.2"
"0.5","6.9354","6.0","0.06","0.1"
"0.5","6.9358","7.0","0.02","0.15"
"0.5","6.936","6.0","0.06","0.15"
"0.5","6.9376","6.0","0.06","0.2"
"0.5","6.9386","6.0","0.06","0.25"
"0.5","6.9456","7.0","0.06","0.2"
"0.5","6.9458","7.0","0.06","0.25"
"0.5","6.9468","7.0","0.06","0.15"
"0.5","6.9474","7.0","0.04","0.2"
"0.5","6.9476","7.0","0.04","0.15"
"0.5","6.9477","7.0","0.04","0.25"
"0.5","6.9479","7.0","0.06","0.1"
"0.5","6.9481","7.0","0.04","0.1"
"0.5","6.9542","6.0","0.08","0.2"
"0.5","6.9544","6.0","0.08","0.1"
"0.5","6.9547","6.0","0.08","0.15"
"0.5","6.9555","6.0","0.08","0.25"
"0.5","6.961","5.0","0.08","0.15"
"0.5","6.9612","5.0","0.08","0.2"
