model,method,sparsity_0.5,sparsity_0.6,sparsity_0.7,result_scope
LLaMA-1-7B,Dense FP16,5.67,,,published dense reference
LLaMA-1-7B,Magnitude,17.26,561.0,48800.0,matched-protocol baseline
LLaMA-1-7B,Wanda,7.25,10.71,80.77,matched-protocol baseline
LLaMA-1-7B,SparseGPT,7.20,10.24,26.45,matched-protocol baseline
LLaMA-1-7B,RIA,7.12,10.56,92.53,matched-protocol baseline
LLaMA-1-7B,Pruner-Zero,6.95,9.93,70.01,matched-protocol baseline
LLaMA-1-7B,GS-OWL,6.9126,8.8426,20.8710,current experiment
LLaMA-1-13B,Dense FP16,5.09,,,published dense reference
LLaMA-1-13B,Magnitude,20.13,224.0,84500.0,matched-protocol baseline
LLaMA-1-13B,Wanda,6.57,8.75,53.11,matched-protocol baseline
LLaMA-1-13B,SparseGPT,6.20,8.42,19.53,matched-protocol baseline
LLaMA-1-13B,RIA,6.07,8.53,72.90,matched-protocol baseline
LLaMA-1-13B,Pruner-Zero,5.94,7.68,35.12,matched-protocol baseline
LLaMA-1-13B,GS-OWL,5.8731,7.0694,11.9627,current experiment
LLaMA-1-30B,Dense FP16,4.77,,,published dense reference
LLaMA-1-30B,Magnitude,7.54,28.41,973.0,matched-protocol baseline
LLaMA-1-30B,Wanda,5.24,6.53,17.37,matched-protocol baseline
LLaMA-1-30B,SparseGPT,5.31,6.66,12.55,matched-protocol baseline
LLaMA-1-30B,RIA,5.07,6.42,21.92,matched-protocol baseline
LLaMA-1-30B,Pruner-Zero,5.01,6.18,13.52,matched-protocol baseline
LLaMA-1-30B,GS-OWL,4.9902,5.9740,9.0048,current experiment
LLaMA-2-7B,Dense FP16,5.47,,,published dense reference
LLaMA-2-7B,Magnitude,16.03,36700.0,52400.0,matched-protocol baseline
LLaMA-2-7B,Wanda,7.78,10.04,70.95,matched-protocol baseline
LLaMA-2-7B,SparseGPT,6.51,9.58,24.25,matched-protocol baseline
LLaMA-2-7B,RIA,6.80,10.38,65.23,matched-protocol baseline
LLaMA-2-7B,Pruner-Zero,6.26,9.68,100.0,matched-protocol baseline
LLaMA-2-7B,GS-OWL,6.1975,8.1455,25.5248,current experiment
LLaMA-2-13B,Dense FP16,4.88,,,published dense reference
LLaMA-2-13B,Magnitude,6.82,11.81,275.0,matched-protocol baseline
LLaMA-2-13B,Wanda,6.28,7.91,45.24,matched-protocol baseline
LLaMA-2-13B,SparseGPT,5.62,7.82,18.16,matched-protocol baseline
LLaMA-2-13B,RIA,5.82,7.83,52.40,matched-protocol baseline
LLaMA-2-13B,Pruner-Zero,5.36,6.89,27.75,matched-protocol baseline
LLaMA-2-13B,GS-OWL,5.3435,6.5466,12.2744,current experiment
Mistral-7B,Dense FP16,4.76,4.76,4.76,published dense reference
Mistral-7B,Wanda,5.97,10.39,59.13,cross-architecture baseline
Mistral-7B,SparseGPT,5.86,8.53,21.01,cross-architecture baseline
Mistral-7B,GS-OWL,5.6866,7.9216,25.3744,current experiment
Vicuna-7B,Dense FP16,6.80,6.80,6.80,published dense reference
Vicuna-7B,Wanda,8.44,12.66,110.0,cross-architecture baseline
Vicuna-7B,SparseGPT,8.27,11.73,33.66,cross-architecture baseline
Vicuna-7B,GS-OWL,7.9343,10.4193,32.9239,current experiment
