model,method,sparsity_0.5,sparsity_0.6,sparsity_0.7,result_scope
LLaMA-1-7B,Dense FP16,5.68,,,literature-reported reference
LLaMA-1-7B,Magnitude,17.2625,561.7321,48835.1914,local experiment logs
LLaMA-1-7B,Wanda,7.9436,10.7007,80.7771,local experiment logs
LLaMA-1-7B,SparseGPT,7.2099,10.2422,26.3452,local experiment logs
LLaMA-1-7B,RIA,7.1225,10.5735,92.5371,local experiment logs
LLaMA-1-7B,Pruner-Zero,6.894,9.9361,70.018,local experiment logs
LLaMA-1-7B,GBLM,7.202,10.4819,79.1143,local experiment logs
LLaMA-1-7B,GS-OWL,6.9126,8.8426,20.871,local experiment logs
LLaMA-1-13B,Dense FP16,5.09,,,literature-reported reference
LLaMA-1-13B,Magnitude,20.137,224.6088,84531.1484,local experiment logs
LLaMA-1-13B,Wanda,6.5734,8.7563,53.1184,local experiment logs
LLaMA-1-13B,SparseGPT,6.2108,8.4268,19.535,local experiment logs
LLaMA-1-13B,RIA,6.0763,8.537,72.9075,local experiment logs
LLaMA-1-13B,Pruner-Zero,5.9441,7.6828,35.1296,local experiment logs
LLaMA-1-13B,GBLM,6.1407,8.6931,54.1907,local experiment logs
LLaMA-1-13B,GS-OWL,5.8731,7.0694,11.9627,local experiment logs
LLaMA-2-7B,Dense FP16,5.47,,,literature-reported reference
LLaMA-2-7B,Magnitude,14.8958,3677.5183,52457.0586,local experiment logs
LLaMA-2-7B,Wanda,7.7839,10.045,70.9594,local experiment logs
LLaMA-2-7B,SparseGPT,6.5154,9.5809,24.2518,local experiment logs
LLaMA-2-7B,RIA,6.8067,10.3874,65.237,local experiment logs
LLaMA-2-7B,Pruner-Zero,6.2617,9.6862,100.8275,local experiment logs
LLaMA-2-7B,GBLM,6.4295,9.86,63.8275,local experiment logs
LLaMA-2-7B,GS-OWL,6.1975,8.1455,25.5248,local experiment logs
LLaMA-2-13B,Dense FP16,4.88,,,literature-reported reference
LLaMA-2-13B,Magnitude,,,,local experiment logs
LLaMA-2-13B,Wanda,6.2838,7.9192,45.2404,local experiment logs
LLaMA-2-13B,SparseGPT,5.6272,7.8273,18.0321,local experiment logs
LLaMA-2-13B,RIA,5.8275,7.8384,52.4052,local experiment logs
LLaMA-2-13B,Pruner-Zero,5.3632,6.8989,27.7549,local experiment logs
LLaMA-2-13B,GBLM,5.5606,7.8498,41.6285,local experiment logs
LLaMA-2-13B,GS-OWL,5.3435,6.5466,12.2744,local experiment logs
